FileName	Description	Source	Category	SubCategory	Notes	Library	Keywords	Manufacturer	Designer	BWDescription	BWOriginator	BWOriginatorRef
"FALCON Taita, Call 01.wav"	"TAITIA FALCON CALL Long, high, strained call."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Taita, Call 01"	BOOM Library		"TAITIA FALCON CALL Long, high, strained call."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Taita, Chirp 01.wav"	"TAITIA FALCON CHIRP Short, high call."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Taita, Chirp 01"	BOOM Library		"TAITIA FALCON CHIRP Short, high call."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Taita, Chirp 02.wav"	"TAITIA FALCON CHIRP Short, high call. Alternate pattern."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Taita, Chirp 02"	BOOM Library		"TAITIA FALCON CHIRP Short, high call. Alternate pattern."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"GOSHAWK Pale Chanting, High Chirp 01.wav"	"PALE CHANTING GOSHAWK HIGH CHIRP Short high, distressed call."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"GOSHAWK Pale Chanting, High Chirp 01"	BOOM Library		"PALE CHANTING GOSHAWK HIGH CHIRP Short high, distressed call."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"GOSHAWK Pale Chanting, High Chirp 02.wav"	"PALE CHANTING GOSHAWK HIGH CHIRP Rapid, high, long pattern. Intensity builds."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"GOSHAWK Pale Chanting, High Chirp 02"	BOOM Library		"PALE CHANTING GOSHAWK HIGH CHIRP Rapid, high, long pattern. Intensity builds."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"GOSHAWK Pale Chanting, High Chirp 03.wav"	"PALE CHANTING GOSHAWK HIGH CHIRP Rapid, high, very long pattern. Intensity builds."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"GOSHAWK Pale Chanting, High Chirp 03"	BOOM Library		"PALE CHANTING GOSHAWK HIGH CHIRP Rapid, high, very long pattern. Intensity builds."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"GOSHAWK Pale Chanting, Low Chirp 01.wav"	"PALE CHANTING GOSHAWK LOW CHIRP Regular, low, social call. Long pattern."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"GOSHAWK Pale Chanting, Low Chirp 01"	BOOM Library		"PALE CHANTING GOSHAWK LOW CHIRP Regular, low, social call. Long pattern."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"GOSHAWK Pale Chanting, Low Chirp 02.wav"	"PALE CHANTING GOSHAWK LOW CHIRP Regular, low, social call. short pattern."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"GOSHAWK Pale Chanting, Low Chirp 02"	BOOM Library		"PALE CHANTING GOSHAWK LOW CHIRP Regular, low, social call. short pattern."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"GOSHAWK Pale Chanting, Low Chirp, Movement 03.wav"	"PALE CHANTING GOSHAWK LOW CHIRP Regular, normal social call."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"GOSHAWK Pale Chanting, Low Chirp, Movement 03"	BOOM Library		"PALE CHANTING GOSHAWK LOW CHIRP Regular, normal social call."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK African Cuckoo, Call 01.wav"	"AFRICAN CUCKOO HAWK CALL Short, high, social call. Diving pitch glissando."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK African Cuckoo, Call 01"	BOOM Library		"AFRICAN CUCKOO HAWK CALL Short, high, social call. Diving pitch glissando."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK African Harrier, Chirp 01.wav"	"AFRICAN HARRIER HAWK Short, high, nervous call."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK African Harrier, Chirp 01"	BOOM Library		"AFRICAN HARRIER HAWK Short, high, nervous call."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Harris, Grumble 01.wav"	"HARRIS HAWK GRUMBLE Low pitch, very throaty. Grumbling screeches."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Harris, Grumble 01"	BOOM Library		"HARRIS HAWK GRUMBLE Low pitch, very throaty. Grumbling screeches."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Harris, Old, Screech 01.wav"	HARRIS HAWK SCREECH Old Harris Hawk screeching multiple times.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Harris, Old, Screech 01"	BOOM Library		HARRIS HAWK SCREECH Old Harris Hawk screeching multiple times.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Harris, Old, Screech 02.wav"	HARRIS HAWK SCREECH Several screeches of old Harris Hawk.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Harris, Old, Screech 02"	BOOM Library		HARRIS HAWK SCREECH Several screeches of old Harris Hawk.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Harris, Scream Scared.wav"	"HARRIS HAWK SCREAM Defensive, scared, rough screams. "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Harris, Scream Scared"	BOOM Library		"HARRIS HAWK SCREAM Defensive, scared, rough screams. "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Harris, Screech 01.wav"	"HARRIS HAWK SCREECH Low pitch, very throaty. Long screeches."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Harris, Screech 01"	BOOM Library		"HARRIS HAWK SCREECH Low pitch, very throaty. Long screeches."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Harris, Screech 02.wav"	"HARRIS HAWK SCREECH Low pitch, very throaty. Long screeches."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Harris, Screech 02"	BOOM Library		"HARRIS HAWK SCREECH Low pitch, very throaty. Long screeches."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"HAWK Harris, Young, Chirp 01.wav"	HARRIS HAWK CHIRP Young Harris Hawk chirping several times.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"HAWK Harris, Young, Chirp 01"	BOOM Library		HARRIS HAWK CHIRP Young Harris Hawk chirping several times.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
